id,name,bn_name,gender,user_type
1,Dr. Md Sidur Rahman,Dr. Md Sidur Rahman,FEMALE
2,Dr. Susmita Sarker,Dr. Susmita Sarker,FEMALE
3,Dr. Md.Mahidul Islam,Dr. Md.Mahidul Islam,MALE
4,Dr. MASUD PARVEZ,Dr. MASUD PARVEZ,MALE
5,Dr. MD. TAIFUR AZIZ KHAN,Dr. MD. TAIFUR AZIZ KHAN,MALE
6,Dr. Atanu Dey,Dr. Atanu Dey,MALE
7,Dr. Nazrul Haque,Dr. Nazrul Haque,MALE
8,Dr. Kawser Ahmed Khan,Dr. Kawser Ahmed Khan,MALE
9,Dr. Tapan Sarkar,Dr. Tapan Sarkar,MALE
10,Dr. ASAD ULLAH,Dr. ASAD ULLAH,MALE
11,Dr. Md. Sabbir Ahamed,Dr. Md. Sabbir Ahamed,MALE
12,Dr. Pritom Muztahid,Dr. Pritom Muztahid,MALE
13,Dr. Sultanan Nasira Suravi,Dr. Sultanan Nasira Suravi,FEMALE
14,Dr. Mohammad Torikul,Dr. Mohammad Torikul,MALE
15,Dr. Mohammed Waliur Rahman,Dr. Mohammed Waliur Rahman,MALE
16,Dr. Shubro Das Partho,Dr. Shubro Das Partho,MALE
17,Dr. Sheikh Omar,Dr. Sheikh Omar,MALE
18,Dr. Md. Shamsul Alam,Dr. Md. Shamsul Alam,MALE
19,Dr. Anupam Dutta Roy,Dr. Anupam Dutta Roy,MALE
20,Dr. Farjana Yeasmeen,Dr. Farjana Yeasmeen,FEMALE
21,Dr. Masuma Mokhles,Dr. Masuma Mokhles,FEMALE
22,Dr. Saiful Maleque,Dr. Saiful Maleque,MALE
23,Dr. Shanaz Parvin Sathi,Dr. Shanaz Parvin Sathi,FEMALE
24,Asst. Prof. Dr. Kamruzzaman Mredha,Asst. Prof. Dr. Kamruzzaman Mredha,MALE
25,Dr. Abu Naser Foysal Reza,Dr. Abu Naser Foysal Reza,MALE
26,Dr. Abbas Uddin,Dr. Abbas Uddin,MALE
27,Asst. Prof. Dr. Monika Parvin,Asst. Prof. Dr. Monika Parvin,FEMALE
28,Dr. Shafkat Hasan,Dr. Shafkat Hasan,MALE
29,Dr. Md. Rakib-Ul Aowal Mazumder,Dr. Md. Rakib-Ul Aowal Mazumder,MALE
30,Dr. Nazmul Hossen Nipu,Dr. Nazmul Hossen Nipu,MALE
31,Dr. Shamiha Seraj,Dr. Shamiha Seraj,FEMALE
32,Dr. Md. Sohanur Rahman,Dr. Md. Sohanur Rahman,MALE
33,Dr. R S,Dr. R S,MALE
34,Dr. Yousup Nabi,Dr. Yousup Nabi,MALE
35,Dr. Ripon Kumar Ghosh,Dr. Ripon Kumar Ghosh,MALE
36,Dr. Plabani Saha,Dr. Plabani Saha,FEMALE
37,Dr. Md.Mujibur Rahman,Dr. Md.Mujibur Rahman,MALE
38,Dr. Md. Raju Ahmed,Dr. Md. Raju Ahmed,MALE
39,Dr. Akhter Uz Zaman Sajib,Dr. Akhter Uz Zaman Sajib,MALE
40,Dr. Palash Kumar Roy,Dr. Palash Kumar Roy,MALE
41,Dr. MD ASADUZZAMAN SADI,Dr. MD ASADUZZAMAN SADI,MALE
42,Dr. Mohammad Zakaria,Dr. Mohammad Zakaria,MALE
43,Dr. Mortuza Rahim,Dr. Mortuza Rahim,MALE
44,Dr. Rakib Hasan Sabbir Test,Dr. Rakib Hasan Sabbir Test,MALE
45,Dr. Md. Mohibbullah,Dr. Md. Mohibbullah,MALE
46,Dr. Md. Hasan Sharif,Dr. Md. Hasan Sharif,MALE
47,Dr. Nusrat Jahan,Dr. Nusrat Jahan,FEMALE
48,Dr. Faiyaz Mahamud,Dr. Faiyaz Mahamud,MALE
49,Dr. G M Kaisar,Dr. G M Kaisar,MALE
50,Dr. Md.Mohsin Hossain,Dr. Md.Mohsin Hossain,MALE
51,Dr. D for Doctor,Dr. D for Doctor,MALE
52,Dr. G Doctor,Dr. G Doctor,MALE
53,Dr. Md.Abu Ayub Khan,Dr. Md.Abu Ayub Khan,MALE
54,Dr. Hasan Shahriar,Dr. Hasan Shahriar,MALE
55,Dr. Khaled bin Shahabuddin,Dr. Khaled bin Shahabuddin,MALE
56,Dr. Rabeya Khatun,Dr. Rabeya Khatun,FEMALE
57,Dr. Automation One,Dr. Automation One,MALE
58,Dr. Fariha Anam,Dr. Fariha Anam,FEMALE
59,Dr. Tasmia Ferdous,Dr. Tasmia Ferdous,FEMALE
60,Dr. Shankhamay Ghosh,Dr. Shankhamay Ghosh,MALE
61,Dr. Puja Majumder,Dr. Puja Majumder,FEMALE
62,Dr. Atika Anjuman,Dr. Atika Anjuman,FEMALE
63,Dr. Md.Abu Bakar Siddique,Dr. Md.Abu Bakar Siddique,MALE
64,Dr. S M Abu Sayeed,Dr. S M Abu Sayeed,MALE
65,Dr. Turanjoy Mukherjee,Dr. Turanjoy Mukherjee,MALE
66,Dr. Mohammad Rafiq-un-Nabi Siam,Dr. Mohammad Rafiq-un-Nabi Siam,MALE
67,Dr. MD Nur-E-Ashfaq Alam,Dr. MD Nur-E-Ashfaq Alam,MALE
68,Dr. Taufique-E-Elahi Sabuz,Dr. Taufique-E-Elahi Sabuz,MALE
69,Dr. Kawser Hamid,Dr. Kawser Hamid,MALE
70,Dr. Md. Sadiqur Rahman,Dr. Md. Sadiqur Rahman,MALE
71,Dr. Orin Jamie,Dr. Orin Jamie,FEMALE
72,Dr. Nahid Azhar,Dr. Nahid Azhar,MALE
73,Dr. Anjuman Ara TAMANNA,Dr. Anjuman Ara TAMANNA,FEMALE
74,Dr. Al Saad,Dr. Al Saad,MALE
75,Asst. Prof. Dr. Nahidul Islam,Asst. Prof. Dr. Nahidul Islam,MALE
76,Dr. Humayun Rashid Sagor,Dr. Humayun Rashid Sagor,MALE
77,Dr. Rabiul Islam,Dr. Rabiul Islam,MALE
78,Prof. Dr. Ishita Moin,Prof. Dr. Ishita Moin,NONE
79,Dr. MD. ATIQUR RAHAMAN,Dr. MD. ATIQUR RAHAMAN,MALE
80,Dr. Nitul Roy,Dr. Nitul Roy,MALE
81,Dr. Sakhawat hossain,Dr. Sakhawat hossain,MALE
82,Prof. Dr. Mukti Rani Ghosh,Prof. Dr. Mukti Rani Ghosh,NONE
83,Prof. Dr. Tamanna Elahi,Prof. Dr. Tamanna Elahi,NONE
84,Dr. M R Karim Reza,Dr. M R Karim Reza,MALE
85,Dr. Farjana Khanom,Dr. Farjana Khanom,FEMALE
86,Dr. Md.Mashfiqul Haque,Dr. Md.Mashfiqul Haque,MALE
87,Dr. .Test Team,Dr. .Test Team,MALE
88,Dr. Marzatul Hasna,Dr. Marzatul Hasna,FEMALE
89,Dr. Md Mohiuddin MajedChowdhury,Dr. Md Mohiuddin MajedChowdhury,MALE
90,Dr. Mohammad Nasir Uddin,Dr. Mohammad Nasir Uddin,MALE
91,Assoc. Prof. Dr. Sheikh Zahid Boksh,Assoc. Prof. Dr. Sheikh Zahid Boksh,MALE
92,Dr. Mithun Nath,Dr. Mithun Nath,MALE
93,Dr. Test Doc,Dr. Test Doc,NONE
94,Asst. Prof. Dr. Testing Purpose,Asst. Prof. Dr. Testing Purpose,MALE
95,Dr. Mehedi Hasan,Dr. Mehedi Hasan,MALE
96,Dr. Supriya Sarker,Dr. Supriya Sarker,FEMALE
97,Dr. Md. Arif Hasan Bhuiyan,Dr. Md. Arif Hasan Bhuiyan,MALE
98,Dr. L. Bow,Dr. L. Bow,MALE
99,Dr. Test Doctor,Dr. Test Doctor,MALE
100,Dr. Md Jamal Mia Shovon,Dr. Md Jamal Mia Shovon,MALE
101,Dr. kawsarul islam,Dr. kawsarul islam,MALE
102,Dr. KHALED MAHMUD,Dr. KHALED MAHMUD,MALE
103,Dr. HASANUL QUADER,Dr. HASANUL QUADER,MALE
104,Asst. Prof. Dr. Nooruddin Talukder,Asst. Prof. Dr. Nooruddin Talukder,MALE
105,Dr. Shaheen Mahmud,Dr. Shaheen Mahmud,MALE
106,Dr. A. F. M. Noman,Dr. A. F. M. Noman,MALE
107,Assoc. Prof. Dr. Sultana Afroj,Assoc. Prof. Dr. Sultana Afroj,FEMALE
108,Dr. Kazi AbdulMomin,Dr. Kazi AbdulMomin,MALE
109,Dr. Kamrun Naher,Dr. Kamrun Naher,FEMALE
110,Dr. Umme Habiba,Dr. Umme Habiba,FEMALE
111,Dr. Maria Meherjabin,Dr. Maria Meherjabin,FEMALE
112,Assoc. Prof. Dr. Test Purpose,Assoc. Prof. Dr. Test Purpose,FEMALE
113,Assoc. Prof. Dr. Test Tube,Assoc. Prof. Dr. Test Tube,MALE
114,Dr. Golam Robbani Maruf,Dr. Golam Robbani Maruf,MALE
115,Asst. Prof. Dr. AKM Ziaul Huque,Asst. Prof. Dr. AKM Ziaul Huque,MALE
116,Dr. Samia Mazumder Koli,Dr. Samia Mazumder Koli,FEMALE
117,Dr. Yasmin Akter Anne,Dr. Yasmin Akter Anne,FEMALE
118,Dr. Tasnia Shoily,Dr. Tasnia Shoily,MALE
119,Dr. Shabinaz Rahim,Dr. Shabinaz Rahim,FEMALE
120,Dr. Tech Doc,Dr. Tech Doc,MALE
121,Dr. Gupal Karmaker,Dr. Gupal Karmaker,MALE
122,Dr. Tech Doctor,Dr. Tech Doctor,MALE
123,Dr. JAKARIA ISLAM,Dr. JAKARIA ISLAM,MALE
124,Assoc. Prof. Dr. Muhammed Ashraful Alam Bhuiyan,Assoc. Prof. Dr. Muhammed Ashraful Alam Bhuiyan,MALE
125,Dr. Avishek Mondal,Dr. Avishek Mondal,MALE
126,Dr. Afifa Dana,Dr. Afifa Dana,FEMALE
